Japanese;US English;French;German;
"ポケット爆弾虫（３個）
を手に入れた！

[Y] [X] で放すと　勝手に進みだす
何かに当たるか　一定時間で爆発する";"You got bomblings (3)! Set to
and use with [Y]  or [X] . They'll go
forward and explode if they hit
something or after awhile.";"Vous obtenez 3 bombinsectes! 
Assignez-les à [Y]  ou [X]  pour
les relâcher. Elles foncent tout
droit et explosent au contact.";"Du erhältst 3 Bombenkäfer!



Lege sie auf [Y]  oder [X]  und lass
sie frei. Nach kurzer Zeit explo-
dieren sie von selbst!";
"";"";"Vous obtenez 30 bombinsectes! 
Assignez-les à [Y]  ou [X]  pour
les relâcher. Elles fonceront en
ligne droite avant d'exploser.";"";
"妖精を　ビンにつかまえた！
力が尽きて　倒れた時に
ハートをくれる　頼もしい仲間
[Y] [X] にセットして使えば
すぐにハートを８つ回復してくれる";"You caught a fairy in a bottle!
It will come to your aid with
hearts if your health runs out.

Set it to and use it with [Y]  or [X] 
and it will restore 8 hearts.";"Vous avez attrapé une fée
avec votre flacon! Cette bonne
fée vous viendra en aide quand
vous serez à bout de forces.
Assignez-la à [Y]  ou [X]  pour
qu'elle vous redonne huit cœurs
si vous la sollicitez.";"Du hast eine Fee in deiner
Flasche gefangen.
Sie gibt dir Herzen, wenn du
sie am nötigsten hast.
Lege sie auf [Y]  oder [X] , und sie
füllt bis zu 8 Herzen wieder auf!";
"小さなカギを　手に入れた！
カギのかかった扉を　開くカギ
ここでしか　使えない";"You got a small key!
This will open a locked door,
but only in this area.";"Vous obtenez une petite clé!
Elle permet d'ouvrir une porte
verrouillée des alentours.";"Du erhältst einen
kleinen Schlüssel!
Er öffnet dir Türen...
Allerdings nur hier.";
"ハートのかけらを　手に入れた！
５つのかけらで　１つの器
器が増えれば　ライフが増える";"You got a Piece of Heart!
Collect 5 pieces to form a new
Heart Container and increase
your life energy!";"Vous obtenez un fragment de
cœur! 5 fragments forment un
réceptacle de cœur, augmentant
votre énergie vitale d'un cœur.";"Du erhältst ein Herzteil!
Sammle fünf davon, um
ein zusätzliches Herz zu
erhalten.";
"ハートの器を　手に入れた！
ライフが１つ増えた！
おまけに　ハート全回復！";"You got a Heart Container!
Your life energy has increased
by one and been fully
replenished!";"Vous obtenez un réceptacle
de cœur! Votre énergie vitale
augmente d'un cœur et vous
retrouvez toutes vos forces!";"Herzcontainer erhalten!
Die Zahl deiner Herzen steigt
um eins. Außerdem wird deine
Gesundheit wiederhergestellt. ";
"ダンジョンマップを　手に入れた！
[WiiD-E]を押すとダンジョン内の
マップを見ることができる
緑の部屋は　行った場所
黄色い矢印は　現在地
[AnalogVertical] 🡅 🡇 で　フロアを選ぶ";"You got the dungeon map!
Press [WiiD-E] to view the map.
Green rooms are ones you've
visited.
The yellow arrow shows your
current location. Tilt [AnalogVertical] 🡅 🡇  to
change floors.";"Vous obtenez la carte du
donjon! Faites-la apparaître à
l'écran en appuyant sur [WiiD-E].

Les pièces déjà visitées sont en
vert et la flèche indique votre
position. Passez d'un étage à
l'autre en utilisant [AnalogVertical] 🡅 🡇 .";"Du erhältst die
Dungeon-Karte!
Drücke [WiiD-E], um den
Kartenbildschirm aufzurufen!
Bereits besuchte Räume sind
grün, der gelbe Pfeil zeigt
deine Position. Mit [AnalogVertical] 🡅 🡇 
wählst du das Stockwerk aus.";
"コンパスを　手に入れた！
ダンジョンに隠された物の位置が
マップ画面で確認できるようになった";"You got the compass!
This handy tool will show you
where to find objects hidden
in this dungeon.
Check the map screen to look
for them!";"Vous obtenez la boussole!
Elle vous indique l'emplacement
des trésors dans le donjon.
Jetez un œil sur la carte!";"Du erhältst den Kompass!
Er zeigt dir, wo du die Schätze
in diesem Dungeon findest.

Sieh auf dem Kartenbildschirm
nach, wenn du die Schätze
suchen willst!";
"おばちゃんが　仲間になった！
ダンジョンで使えば、外にワープして
いつでも使った場所に戻ってこれる
[Y] [X] にセットして　使う";"You met Ooccoo!
If you call her in a dungeon,
she will let you out and allow
you to return when you want.
Set her to and use her with
[Y]  or [X] .";"Vous avez rencontré Baba!
Appelez-la dans un donjon et
elle vous téléporte dehors.

Assignez-la à [Y]  ou [X]  pour
faire appel à ses services!
Elle peut aussi vous ramener à
l'endroit d'où vous êtes sorti.";"Du hast die Tante getroffen!
Sie warpt dich aus jedem Dun-
geon... oder dorthin zurück,
wo du zuletzt warst.
Lege sie auf [Y]  oder [X] , um
sie verwenden zu können.";
"ボス部屋のカギを　手に入れた！
ダンジョンに潜むボスの部屋の
扉を開くカギ";"You got the big key!
Use it to gain access to the
lair of this dungeon's boss!";"Vous obtenez la grande clé!
Vous pouvez à présent pénétrer
dans la pièce où se cache le
Boss du donjon.";"Du erhältst den
Master-Schlüssel!
Er öffnet dir den Weg zum
Boss dieses Dungeons.";
"トアルの剣を　手に入れた！
トアル村一の剣士、モイが用意した
ハイラル王家への献上品";"You got the Ordon sword!
This is a sword crafted by Rusl,
the best swordsman in Ordon,
as a tribute to the royal family.";"Vous obtenez l'épée de Toal!
Cette lame a été forgée par Moï,
guerrier de Toal, comme cadeau
pour la famille royale d'Hyrule.";"Du erhältst das Ordon-
Schwert! Moe hat es als
Geschenk für den Hof von
Hyrule angefertigt.";
"マスターソードを　手に入れた！
選ばれし者のみが使うことを許された
退魔の剣！";"You got the Master Sword!
Only the true hero can wield
this legendary weapon!";"Vous obtenez Excalibur!
Seul l'être élu peut manier cette
épée honnie des forces du mal!";"Du erhältst das Master-Schwert!
Dies ist das legendäre Schwert,
das nur der auserwählte Held
führen kann!";
"トアルの盾を　手に入れた！
[L] で構えて身を守る
炎に焼かれると　燃えてなくなる";"You got the Ordon shield!
Press [L]  to defend yourself,
but beware: if it's touched by
fire, it will burn.";"Vous obtenez le bouclier de
Toal! Appuyez sur [L]  pour
vous protéger avec. Attention,
il craint le feu!";"Du erhältst den Ordon-Schild!
Drücke [L] , um ihn zu ver-
wenden. Er verbrennt, wenn du
mit Feuer in Kontakt kommst!";
"木の盾を　手に入れた！
[L] で構えて身を守る
炎に焼かれると　燃えてなくなる";"You got the wooden shield!
Press [L]  to defend yourself,
but beware: if it's touched
by fire, it will burn!";"Vous obtenez le bouclier en
bois! Appuyez sur [L]  pour
vous protéger avec. Attention,
il craint le feu!";"Du erhältst den Holzschild!
Drücke [L] , um ihn zu ver-
wenden. Er verbrennt, wenn du
mit Feuer in Kontakt kommst!";
"ハイリアの盾を　手に入れた！
炎に触れてもなくならない、鋼鉄の盾
[L] で構えて身を守る";"You got the Hylian shield!
Press [L]  to defend yourself.
It's metal and will never burn.";"Vous obtenez le bouclier
d'Hylia! Appuyez sur [L]  pour
vous protéger. Ce bouclier en
métal ne craint pas le feu.";"Du erhältst den Hylia-Schild!
Drücke [L] , um ihn zu verwen-
den. Er ist aus Eisen und hält
auch den Flammen stand!";
"マジックアーマーを　手に入れた！
買っちゃった～！　買っちゃった～！
マロマートで　買っちゃった～！
装備している間ルピーを魔法の力に変え
一切のダメージを受けなくしてしまう鎧
攻撃を受けるとルピーを多く消費する
ルピーが切れると、鎧の効果が消え
体の動きも鈍くなる";"You got the magic armor!
You bought it! You are smart!
You bought it at Malo Mart!

Wear it and your Rupees will
become magical. The armor will
protect you, so if you get hit,
you lose Rupees, not health.
If you run out of Rupees, the
armor will go dormant and your
movement will become impaired.";"Vous obtenez l'armure magique!
La sublime, la magnifique,
la superbe armure magique!
Merci les Galeries Balder!
Son enchantement consomme
des rubis quand vous la portez,
et encore plus quand vous
subissez une attaque.
Tant que vous avez des rubis,
vous ne subissez aucun dégât!
Sinon, l'effet disparaît et elle
ne fait que vous encombrer...";"Du erhältst die Magie-Rüstung!
Solange du sie trägst, ver-
wandeln sich deine Rubine in
magische Energie.
So wirst du immun gegen jede
Art von Angriff... verlierst aber
bei jedem gegnerischen Treffer
viele Rubine!
Sind deine Rubine aufge-
braucht, verliert die Magie
ihre Wirkung... und deine
Bewegungen werden träge.";
"ゾーラの服を　受け取った！
ゾーラ王家に伝わる　特別な衣

装備している間は
水中を自由自在に動き回れる
ただし、炎や氷の攻撃に弱くなる";"You got Zora armor!
This special garment was
handed down through the Zora
royal family.
If you have it equipped, you can
move freely through the water...
but you will be more vulnerable
to fire and ice attacks.";"Vous obtenez la tenue Zora! 
Une tenue aux pouvoirs 
étranges, relique ancestrale de
la famille royale des Zoras.
Revêtez-la et nagez comme un
poisson! Attention! Elle vous
rend très sensible aux dégâts
du feu et de la glace!";"Du erhältst das Zora-Gewand!
Dieses legendäre Kleidungs-
stück stammt aus dem Besitz
der Zora-Könige.
Trägst du es, kannst du dich
unter Wasser frei bewegen.
Dafür schaden Feuer- und Eis-
Attacken mehr als sonst!";
"おばちゃんと　再会した！
ダンジョンの外に出してくれたり、
元の場所に戻してくれたりする親切な人
[Y] [X] にセットして　使う";"You reunited with Ooccoo!
This kind character will let you
out of the dungeon and return
you to where you were.
Set her to and call her with
[Y]  or [X] .";"Vous retrouvez Baba!
Cette sympathique dame vous
téléporte hors du donjon pour
vous y ramener ensuite.
Assignez-la à [Y]  ou [X]  pour
faire appel à ses services!";"Du hast die Tante wieder-
getroffen! Lege sie auf [Y] 
oder [X] , um das Dungeon
zu verlassen.";
"大きなサイフを　受け取った！
最高６００ルピーまで
ルピーを持ち歩けるようになった！";"You got the big wallet!
You can now hold up to
600 Rupees!";"Vous obtenez la grande bourse!
Elle peut contenir 600 rubis!
Vous pouvez être content!";"Große Geldbörse erhalten!
In ihr kannst du bis zu
600 Rubine aufbewahren.";
"最大のサイフを　受け取った！
虫さん王国、名誉市民の証！
１０００ルピーまで入れられる！";"You got the giant wallet!
It's a symbol of a distinguished
citizen in the insect kingdom.
It can hold up to 1,000 Rupees!";"Vous obtenez la bourse géante!
Vous l'avez reçue de Machaon
en tant que citoyen d'honneur!
On peut y mettre 1000 rubis!";"Du erhältst die Maxi-Geldbörse!
In ihr kannst du bis zu
1000 Rubine aufbewahren.";
"ハートのかけらを　手に入れた！
あと３つ集めれば　ライフが１つ増える";"You got a Piece of Heart!
Collect 3 more for another full
Heart Container.";"Vous obtenez un fragment de
cœur! Trouvez-en 3 autres
pour accroître d'un cœur votre
énergie vitale.";"Du erhältst ein Herzteil!
Sammle drei weitere, und du
erhältst ein zusätzliches Herz.";
"ハートのかけらを　手に入れた！
あと２つ集めれば　ライフが１つ増える";"You got a Piece of Heart!
Collect 2 more for another full
Heart Container.";"Vous obtenez un fragment de
cœur! Trouvez-en 2 autres
pour accroître d'un cœur votre
énergie vitale.";"Du erhältst ein Herzteil!
Sammle zwei weitere, und du
erhältst ein zusätzliches Herz.";
"ハートのかけらを　手に入れた！
あと１つ集めれば　ライフが１つ増える";"You got a Piece of Heart!
Collect 1 more for another full
Heart Container.";"Vous obtenez un fragment de
cœur! Trouvez-en 1 autre
pour accroître d'un cœur votre
énergie vitale.";"Du erhältst ein Herzteil!
Sammle ein weiteres, und du
erhältst ein zusätzliches Herz.";
"ハートのかけらを　手に入れた！
かけら５つで器が完成！
ライフが１つ増えて、ハート全回復！";"You got a Piece of Heart!
You collected 5 pieces and
formed a new Heart Container!
It also filled your life energy!";"Vous obtenez un fragment
de cœur! Vos 5 fragments
font un réceptacle de cœur et
vous redonnent tous vos cœurs.";"Du erhältst ein Herzteil!
Du hast jetzt insgesamt fünf!
Du erhältst ein zusätzliches
Herz und volle Gesundheit.";
"珊瑚の耳飾りを　受け取った！
ゾーラの里の貴重な珊瑚で作られた
釣針のような形をした　綺麗な耳飾り
釣竿の針として　取り付けられた！
これでニオイマスを釣ることができる";"You got the coral earring!
It's made of precious coral from
Zora's Domain. It's in the shape
of a fishhook. It's lovely!
It's been added as a hook for
your fishing rod! With this,
you can now catch reekfish!";"Vous obtenez la boucle d'oreille
de corail! En forme d'hameçon,
ce bijou est fait dans le précieux
corail du village des Zoras.
Vous l'avez monté comme
hameçon sur votre canne à
pêche! Vous pouvez aller
taquiner la truite fétide.";"Du erhältst den Korallenohrring!
Ein herrlicher Schmuck aus den
kostbaren Korallen der Zoras in
Form eines Angelhakens!
Verwende ihn zusammen mit der
Angel, wenn du eine Dunst-
forelle fangen willst.";
"ホークアイを　手に入れた！
遠くをズームできる優れもののスコープ
[Y] [X] にセットして使う
[WiiD-N]アイテム画面で勇者の弓に合成すれば
遠くへズームインして　矢をうてる";"You got the Hawkeye!
This handy scope excels at
zooming in on distant objects.
Set it to and use it with [Y]  or [X] .
Combine it with the Hero's Bow
on the [WiiD-N] Items screen to zoom
in on distant objects and shoot
them with your arrows.";"Vous obtenez l'Œil du faucon!
Utilisez [WiiD-N] pour l'assigner à [Y] 
ou [X]  et vous pourrez scruter
des objets au loin!
Si vous le combinez à l'Arc du
Héros, même les cibles les plus
lointaines ne pourront vous
échapper!";"Du erhältst das Falkenauge!
Hiermit kannst du weit ent-
fernte Dinge vergrößert sehen!

Kombiniert mit dem Heroen-
Bogen, triffst du Ziele in großer
Entfernung mit Leichtigkeit.";
