Japanese;UK English;French;German;
"小さなカギを手に入れた！
カギのかかったドアを　開くカギ
ここでしか　使えない";"You got a small key!
Use it to open locked doors.
You can use it only in this dungeon.";"Vous obtenez une Petite Clé!
Les Petites Clés permettent d'ouvrir 
les portes verrouillées des alentours.";"Du hast einen Kleinen Schlüssel
gefunden! Damit kannst du
eine verschlossene Tür in diesem
Labyrinth öffnen.";
"ハートのかけらを手に入れた！
集めたかけらは　全部で２つ
あと２つ集めればライフが１つ増える";"You got a Piece of Heart!
You've collected a total of two
pieces. Get two more to complete
another Heart Container.";"Vous obtenez un Quart de Cœur!
Vous avez 2 Quarts de Cœur.
Si vous en trouvez encore 2, votre
Energie Vitale augmentera d'un Cœur.";"Du hast ein Herzteil gefunden!
Zwei dahin, noch zwei im Sinn!
Also finde noch zwei, dann erhöht
sich deine Energie um 1!";
"ハートのかけらを手に入れた！
集めたかけらは　全部で３つ
あと１つ集めればライフが１つ増える";"You got a Piece of Heart!
You've collected three so far. Collect
one more to increase your life energy
by one heart.";"Vous obtenez un Quart de Cœur!
Vous avez 3 Quarts de Cœur.
Si vous en trouvez encore 1, votre
Energie Vitale augmentera d'un Cœur.";"Du hast ein Herzteil gefunden!
Drei dahin, noch eines im Sinn!
Also finde noch eines, dann erhöht
sich deine Energie um 1!";
"ハートのかけらを手に入れた！
かけら４つで　器が完成！
これで、ライフが１つ増えた";"You got a Piece of Heart!
That's the fourth piece, completing
another Heart Container! Your life
energy has increased by one heart!";"Vous obtenez un Quart de Cœur!
Vos 4 Quarts de Cœur vous donnent 
un Réceptacle de Coeur: votre Energie
Vitale augmente d'un Cœur.";"Du hast ein Herzteil gefunden!
Vier dahin, keines mehr im Sinn!
Deine Energie erhöht sich um 1!";
"黄ルピーを手に入れた
１０ルピーだ！
えっ？　こ、これだけ・・・";"You got a Yellow Rupee!
That's 10 Rupees.
What?! Th-That's it?!
This is a joke, right?";"Vous obtenez un Rubis Jaune!
Un Rubis Jaune vaut 10 Rubis Verts.
Hein? C'est...C'est tout???";"Du hast einen Gelben Rubin gefunden!
Er ist so viel wert wie 10 Grüne
Rubine! Was?! Nu-nur so wenig...?";
"幸せのペンダントを手に入れた！
エモノ袋に入れておこう

花に集まる蝶のように
幸せをあたえる者のところに
集まるといわれるペンダント";"You got a Joy Pendant!
You can keep it in your Spoils Bag.


These pendants are said to flock to
those who spread joy, like butterflies
to nectar-filled blossoms.";"Vous obtenez un
Pendentif du Bonheur,
qui sera placé dans
votre Sac à Butin.
A la manière des papillons attirés
par les fleurs, on dit ces Pendentifs
attirés par ceux qui font le bonheur
de leur entourage.";"Du hast ein Glücksamulett gefunden!
Es wird in deiner Beutetasche
aufbewahrt.

Man sagt, so wie sich Schmetterlinge
auf einer Blumenwiese einfinden, so
kommt das Glück zum Träger dieses
Amulettes.";
"望遠鏡を貸してもらった！
妹が大事に、大事に使っている宝物

アイテム画面を出して[Y] [Z] [X] の
どれかにセットしてのぞいてみよう！";"You got the Telescope!
This is your sister's most precious
belonging. Treasure it dearly!

Set it to [Y] , [Z] , or [X]  and use it by
pressing whatever button you set it
to. Do it now, and see what you can
see!";"Vous recevez la Longue-Vue!
C'est un objet précieux auquel votre
sœur tient beaucoup.

Faites apparaître l'Inventaire
et assignez la Longue-Vue
à [Y] , [Z]  ou [X] .";"Du hast das Fernrohr geliehen
bekommen! Es ist der größte Schatz
deiner kleinen Schwester!

Rufe das Item-Menü auf, lege es auf
[Y] [Z] [X]  und riskiere einen Blick!";
"チンクルシーバーをもらった！
困ったことがあったら、ＧＢＡと
つないでチンクルに相談しよう！
ＧＢＡを、コントローラポート２～４に
ＧＢＡケーブルで接続してから
[Y] [Z] [X] にセットして呼び出す";"He gave you the Tingle Tuner!
If you get stuck or need a quick hint,
connect a Game Boy Advance to your
Nintendo GameCube to talk to Tingle.
After connecting the Game Boy
Advance to Controller Socket 2, 3,
or 4, set the Tingle Tuner to [Y] ,
[Z] , or [X]  to call Tingle.";"Vous obtenez le Poste de Tingle!
Quand vous avez besoin d'aide, 
connectez votre Game Boy Advance à
votre Nintendo GameCube pour parler 
à Tingle! Une fois la GBA connectée à
l'un des ports 2, 3 ou 4, assignez
le Poste à [Y] , [Z]  ou [X] .";"Du hast den Tingleceiver bekommen!



Wenn du mal nicht weiter weißt,
stelle eine Verbindung mit deinem
Game Boy Advance her und frage
Tingle um Rat!
Lege ihn auf [Y] [Z] [X]  und rufe Tingle,
nachdem du den Game Boy Advance
mit dem NINTENDO GAMECUBE GAME
BOY ADVANCE-Kabel
an einer der Controller-Anschluss-
buchsen 2 - 4 angeschlossen hast.";
"風のタクトをもらった！
使い方次第で　神の力が借りられる
いわくつきの指揮棒
[Y] [Z] [X] にセットして使う
[C] でタクトを振る

[Analog] を動かさなければ３拍子
🡄 [AnalogLeft] は４拍子
[AnalogRight] 🡆 で６拍子";"You received the legendary
Wind Waker! By using this magical
conductor's baton, you can borrow
the power of the gods!
Set it to [Y] , [Z] , or [X]  and use it by
pressing whatever button you set it
to. To conduct, use [C]  to choose
notes.

Don't tilt [Analog]  to conduct in 3/4 time.
Hold 🡄 [AnalogLeft]  to conduct in 4/4 time.
Hold [AnalogRight] 🡆  to conduct in 6/4 time.";"Vous recevez la Baguette du Vent!
Cette baguette chargée d'histoire
permet d'emprunter aux Dieux 
certains de leurs pouvoirs.
Assignez-la à [Y] , [Z]  ou [X] 
et utilisez la baguette avec [C] .


[Analog]  en position centrale
permet de jouer 3 notes.
🡄 [AnalogLeft]  permet de jouer 4 notes.
[AnalogRight] 🡆  permet de jouer 6 notes.";"Du hast den Taktstock des Windes
erhalten! Je nach Verwendung soll
man damit die Kräfte der Götter auf
seiner Seite haben.
Lege ihn auf [Y] [Z] [X] , um ihn
zu benutzen. Mit Hilfe von [C]  kannst
du den Taktstock schwingen.

Neutrale [Analog] -Position für Dreiertakte
🡄 [AnalogLeft]  für Vierertakte
🡆 [AnalogRight]  für Sechsertakte";
"写し絵の箱を手に入れた！
アイテム画面を出して[Y] [Z] [X] 
どれかに、セットして使おう！
撮った写し絵は３枚まで残せる
[R] で切り替えて眺めよう";"You got the Picto Box!
Set it to and use it with [Y] , [Z] , or [X] !
It can hold up to three pictographs.
Press [R]  to view your pictographs.";"Vous obtenez la Boîte à Image!
Allez à l'écran d'inventaire 
et assignez la Boîte à Image
à [Y] , [Z]  ou [X] .

Vous pouvez conserver jusqu'à
3 clichés. Le bouton [R] 
vous permet de les visionner.";"Du hast die Foto-Box gefunden!
Benutze sie, indem du sie auf [Y] [Z] [X] 
legst! Du kannst bis zu drei Licht-
bilder gleichzeitig in ihr aufbewahren.
Schalte mit [R]  zu deinen Bildern um,
um sie zu betrachten!";
"エモノ袋を手に入れた！
おもに、敵から手に入れた
アイテムが入る　便利な袋　
最高８種類のアイテムが入る
中身を見るときは、アイテム画面で
カーソルを合わせて、[Y] [Z] [X] を押す";"You got the Spoils Bag!
You can keep the items you get from
enemies in this handy pouch.

It can hold up to eight types of
items. Press [Y] , [Z] , or [X]  on the Items
screen to see what's inside.

Press [Y] , [Z] , or [X]  again to set
and use one of its contents.";"Vous obtenez le Sac à Butin!
Ce sac vous sera très utile, 
notamment pour ranger les objets
que vous aurez dérobés à vos 
ennemis. Ce sac peut contenir jusqu'à
8 objets. Pour en visionner le 
contenu, positionnez le curseur sur 
le sac dans l'Inventaire et
appuyez sur [Y] , [Z]  ou [X] .";"Du hast die Beutetasche gefunden!
Eine praktische Tasche, in der du
hauptsächlich im Kampf eroberte
Items verstauen kannst. 
Von diesen Items gibt es insgesamt
acht Arten. Wenn du den Inhalt der
Tasche ansehen willst, wähle sie an
und drücke [Y] [Z] [X] .";
"カギつめロープを　手に入れた！
羽根のない時代から
リト族に伝わる道具
アイテム画面を出して[Y] [Z] [X] に
セットして狙う

船で使えば、海に沈んだ物も
引き上げられる

引っ掛けられる場所には
[Starburst]が表示される";"You got the Grappling Hook!
This was an item used by the
Rito people before they had wings.

Set it to [Y] , [Z] , or [X]  on the Items
screen, then press that button to
aim. Use this item to latch on to
anything with a [Starburst] on it.
You can even use it to haul things
up from the sea floor while on your
boat.";"Vous obtenez le Grappin-Griffe!
Cet objet était utilisé par le peuple
Piaf avant qu'il n'obtienne ses ailes
et il s'est transmis jusqu'à nos jours.
Allez à l'écran d'inventaire et
assignez le Grappin-Griffe
à [Y] , [Z]  ou [X] 
pour pouvoir l'utiliser.

Vous pouvez utiliser le Grappin-Griffe
en mer, pour repêcher des objets qui
ont sombré dans les profondeurs. 

Le signe [Starburst] indique les endroits
où vous pouvez accrocher votre
Grappin-Griffe.";"Du hast den Greifhaken erhalten!
Ein Gegenstand, der beim Volk der
Orni noch aus jener Zeit stammt, zu
der sie noch keine Flügel hatten.
Rufe das Item-Menü auf, lege ihn auf
[Y] [Z] [X]  und visiere dein Ziel an.


Wenn du ihn auf dem Boot benutzt,
kannst du im Meer verborgene
Schätze heben.

An Stellen, an denen er sich
festgreifen kann, erscheint [Starburst].";
"写し絵の箱がＤＸになった！
不思議な光を箱に宿したため
写し絵がカラーで撮れる！
アイテム画面を出して[Y] [Z] [X] に
セットして使ってみよう";"You got a Deluxe Picto Box!
It has been imbued with a mystical
light, so now it can take color
pictographs!
Set it to and use it with [Y] , [Z] , or [X] .";"Votre Boîte à Image se transforme en 
Boîte à Image DX, le modèle De Luxe!


Une étrange lumière a pénétré
à l'intérieur de votre boîte et 
vous permet désormais de prendre
des clichés en couleur!

Assignez la boîte à image couleur à
[Y] , [Z]  ou [X]  dans l'inventaire
et essayez donc de prendre un cliché!";"Deine Foto-Box stellt jetzt die
Deluxe-Version dar!


Durch die Einspeisung einer
mysteriösen Lichtquelle kannst
du nun Farblichtbilder machen!

Rufe das Item-Menü auf und lege sie
auf [Y] [Z] [X] ! Viel Spaß in Farbe!";
"勇者の弓を手にいれた！
セットしたボタンを押すとかまえ
はなすと　矢を発射
矢は、最高３０本まで持てる";"You got the Hero's Bow!
Set it to [Y] , [Z] , or [X] , then use it
with the button you've set it to.

Hold the button to nock an arrow
and release the button to shoot.
You can carry up to 30 arrows.";"Vous obtenez l'Arc du Héros!
Appuyez sur le bouton auquel vous
l'avez assigné, visez, puis lâchez le
bouton pour décocher une Flèche. 
Votre carquois peut contenir
jusqu'à 30 Flèches.";"Du hast den Heroen-Bogen gefunden!
Drückst du den Knopf, auf den du ihn
gelegt hast, kannst du zielen. Lässt
du ihn los, feuerst du einen Pfeil ab.
Du kannst maximal 30 Pfeile
mit dir führen.";
"パワーリストを手にいれた！
両腕に　力がみなぎる！
[A] でつかんで　持ち上げられる";"You got the Power Bracelets!
Both arms are now stronger than
ever! Press [A]  to grab and lift
objects.";"Vous obtenez les Bracelets de Force!
Passez-les pour augmenter votre force
physique: vous pourrez alors saisir et
porter des objets très lourds avec [A] .";"Du hast die Kraft-Armbänder
gefunden! Damit strotzt du nur so vor
Kraft! Hebe schwere Objekte durch
Drücken von [A] !";
"ヘビィブーツを手にいれた！
重くて、重くて　歩きにくいが
強い風でも　吹き飛ばされない！";"You got the Iron Boots!
These boots are so heavy you can
hardly walk, but the wind can't blow
you around when you wear them!";"Vous obtenez les Bottes de Plomb!
Ces bottes sont lourdes et
peu confortables mais elles vous 
permettent de rester bien ancré au sol
par les plus grands vents!";"Du hast die Eisenstiefel gefunden!
Sie sind so schwer, dass jeder Schritt
zur Qual wird, aber damit trotzt du
selbst der stärksten Orkanböe!";
"マジックシールドを手に入れた！
魔法力によってシールドを
周囲に発生！　敵の攻撃から身を守る
アイテム画面を出して[Y] [Z] [X] に
セットして使おう！";"You got the Magic Armor!
Use your magic power to create a
barrier around you that protects you
from enemy attacks!
Set it to and use it with [Y] , [Z] , or [X] !";"Vous obtenez l'Armure Magique!
Utilisez votre Energie Magique pour
vous protéger des attaques de vos
ennemis. Assignez l'Armure
à [Y] , [Z]  ou [X] 
dans l'Inventaire.";"Du hast die Magische Barriere
gefunden!


Mit Hilfe deiner Magischen Energie
kannst du deinen Gegnern einen
Rundumschlag verpassen! Zudem
schützt sie vor Angriffen.
Benutze sie, indem du das Item-Menü
aufrufst und sie auf [Y] [Z] [X]  legst.";
